State,District,Delta Confirmed,Delta Deceased,Delta Recovered,Total Confirmed,Total Deceased,Total Recovered
KL,Kollam,30,0,36,1937,6,1336
KL,Kottayam,23,0,107,1372,1,900
KL,Kozhikode,97,1,44,1739,9,957
KL,Malappuram,131,0,94,2542,8,1529
KL,Palakkad,50,0,56,1905,2,1474
KL,Pathanamthitta,32,0,62,1620,1,1124
KL,Thiruvananthapuram,242,1,310,5575,16,2225
KL,Thrissur,72,0,45,1748,9,1161
KL,Wayanad,17,0,9,738,1,351
LA,Leh,49,0,18,698,4,400
MH,Ahmednagar,327,2,197,6233,78,3609
MH,Akola,16,3,15,2709,126,2055
MH,Amravati,72,1,75,2367,69,1588
MH,Aurangabad,221,11,334,14672,518,9400
MH,Beed,57,0,29,989,23,302
MH,Bhandara,0,0,1,260,2,204
MH,Buldhana,87,1,58,1542,43,840
MH,Chandrapur,12,0,3,534,1,282
MH,Dhule,35,3,110,3276,111,2145
MH,Gadchiroli,12,0,3,308,1,249
MH,Gondia,17,0,2,398,3,245
MH,Hingoli,3,0,4,671,15,446
MH,Jalgaon,290,12,163,12085,558,8318
MH,Jalna,1,0,0,2010,78,1512
MH,Kolhapur,243,40,344,6657,165,2577
MH,Latur,119,6,47,2598,119,1259
MH,Mumbai,709,56,871,118115,6549,90960
MH,Nagpur,236,17,10,5952,144,2174
MH,Nanded,98,3,23,2363,86,904
MH,Nandurbar,10,2,5,668,38,441
MH,Nashik,455,9,400,16534,498,10419
MH,Osmanabad,344,2,32,1471,56,561
MH,Palghar,209,5,311,16817,368,10305
MH,Parbhani,42,0,19,741,25,378
MH,Pune,2207,56,5418,98876,2342,58137
MH,Raigad,235,6,738,17989,417,13207
MH,Ratnagiri,58,0,80,1928,66,1242
MH,Sangli,255,8,97,3406,94,1245
MH,Satara,163,1,73,4616,152,2650
MH,Sindhudurg,14,0,9,414,7,294
MH,Solapur,200,4,319,10002,532,5266
MH,Thane,873,51,2402,98216,2754,64850
MH,Wardha,11,1,6,237,5,152
MH,Washim,64,0,32,700,17,461
MH,Yavatmal,52,0,96,1162,30,679
ML,East Khasi Hills,9,0,54,717,2,242
ML,Ribhoi,5,0,1,106,3,44
ML,South West Garo Hills,0,0,4,8,0,8
ML,West Garo Hills,1,0,0,32,0,15
ML,West Khasi Hills,0,0,7,5,0,7
MN,Chandel,5,0,0,45,2,4
MN,Imphal East,8,0,0,146,0,16
MN,Imphal West,25,0,0,445,1,52
MN,Kakching,2,0,0,154,0,27
MN,Tamenglong,1,0,0,231,0,32
MN,Thoubal,23,0,0,312,3,23
MN,Unknown,0,0,48,28,0,1421
MP,Agar Malwa,0,0,3,91,3,74
MP,Alirajpur,0,0,12,178,1,87
MP,Ashoknagar,1,0,2,99,3,81
MP,Balaghat,9,0,7,144,0,106
MP,Barwani,38,0,34,802,7,419
MP,Betul,5,0,5,271,3,186
MP,Bhind,16,0,9,476,1,433
MP,Bhopal,172,2,249,6965,192,4472
MP,Burhanpur,2,0,4,486,25,437
MP,Chhatarpur,2,0,10,364,8,295
MP,Chhindwara,7,0,4,197,2,113
MP,Damoh,6,1,10,234,3,129
MP,Datia,2,0,0,232,4,183
MP,Dewas,3,0,0,451,10,393
MP,Dhar,5,0,4,447,10,330
MP,Dindori,2,0,2,50,0,33
MP,Guna,8,0,2,87,4,55
MP,Gwalior,83,0,81,2590,13,1913
MP,Harda,1,0,0,217,6,180
MP,Hoshangabad,26,1,19,264,8,133
MP,Indore,89,3,427,7735,320,5662
MP,Jabalpur,60,2,102,1506,32,1006
MP,Jhabua,0,0,5,146,3,108
MP,Katni,5,0,22,174,3,110
MP,Khandwa,9,0,9,677,19,564
MP,Khargone,12,0,42,818,18,639
MP,Mandla,2,0,0,40,1,19
MP,Mandsaur,6,0,12,447,11,384
MP,Morena,43,0,16,1686,9,1511
MP,Narsinghpur,12,0,14,195,1,120
MP,Neemuch,6,0,20,781,9,621
MP,Niwari,1,0,5,52,0,30
MP,Panna,6,0,1,106,0,89
MP,Raisen,2,0,53,370,8,304
MP,Rajgarh,6,0,6,376,9,211
MP,Ratlam,22,1,13,480,11,385
MP,Rewa,10,0,6,377,3,192
MP,Sagar,12,1,5,712,34,560
MP,Satna,6,0,4,194,8,114
MP,Sehore,9,0,30,310,11,168
MP,Seoni,2,0,2,51,1,30
MP,Shahdol,8,0,5,87,0,55
MP,Shajapur,0,1,8,297,5,251
MP,Sheopur,2,0,13,251,2,204
MP,Shivpuri,14,0,7,334,2,265
MP,Sidhi,12,0,2,106,1,64
MP,Singrauli,25,0,6,114,2,54
MP,Tikamgarh,2,0,3,312,8,280
MP,Ujjain,12,0,7,1230,74,993
MP,Vidisha,14,0,13,356,2,267
MZ,Aizawl,0,0,11,297,0,121
MZ,Lawngtlai,0,0,1,23,0,20
MZ,Lunglei,6,0,4,92,0,57
NL,Dimapur,187,0,0,1104,4,65
NL,Mon,89,0,0,263,0,64
NL,Phek,0,0,2,30,0,18
OR,Angul,14,0,2,381,2,244
OR,Balangir,5,0,16,519,0,338
OR,Balasore,37,0,58,1128,6,829
OR,Bargarh,10,0,12,473,1,363
OR,Bhadrak,40,0,4,716,6,565
OR,Boudh,2,0,9,153,0,130
OR,Cuttack,121,0,68,2458,14,1684
OR,Deogarh,0,0,1,96,0,83
OR,Dhenkanal,51,0,5,420,0,191
OR,Gajapati,38,0,120,1700,14,1143
OR,Ganjam,288,6,258,11611,119,8136
OR,Jagatsinghpur,20,0,2,784,2,632
OR,Jajpur,39,1,25,1402,4,1144
OR,Jharsuguda,3,0,11,333,1,294
OR,Kalahandi,47,0,1,306,2,114
OR,Kandhamal,62,0,30,678,2,400
OR,Kendrapara,12,0,12,537,3,430
OR,Kendujhar,66,0,19,856,2,688
OR,Khordha,201,1,218,5115,38,2293
OR,Koraput,49,0,84,975,0,435
OR,Malkangiri,34,1,24,663,4,390
OR,Mayurbhanj,28,0,7,749,2,512
OR,Nabarangapur,2,0,34,308,1,233
OR,Nayagarh,31,0,10,717,5,476
OR,Nuapada,3,0,8,158,0,111
OR,Puri,34,1,121,919,6,567
OR,Rayagada,0,0,128,1132,10,680
OR,Sambalpur,82,0,0,663,1,234
OR,Subarnapur,1,0,0,110,0,84
OR,Sundargarh,64,0,122,1621,13,1060
PB,Amritsar,39,0,56,2024,85,1491
PB,Barnala,14,0,2,318,7,92
PB,Bathinda,14,0,104,585,8,286
PB,Faridkot,1,0,0,319,0,252
PB,Fatehgarh Sahib,13,1,20,393,3,287
PB,Fazilka,3,0,0,327,1,216
PB,Ferozepur,14,0,0,565,6,228
PB,Gurdaspur,10,1,85,668,19,458
PB,Hoshiarpur,10,0,7,569,15,512
PB,Jalandhar,34,5,63,2644,60,1796
PB,Kapurthala,7,0,15,340,11,180
PB,Ludhiana,221,7,191,3935,122,2460
PB,Mansa,15,0,4,159,0,96
PB,Moga,6,0,20,455,5,243
PB,Pathankot,15,0,11,456,13,315
PB,Patiala,19,5,0,1938,38,1194
PB,Rupnagar,5,0,0,273,4,187
PB,S.A.S. Nagar,11,0,3,949,17,573
PB,Sangrur,35,1,26,1161,30,911
PB,Sri Muktsar Sahib,1,0,2,240,2,212
PB,Tarn Taran,1,0,0,377,12,236
PY,Karaikal,5,0,3,209,2,148
PY,Mahe,1,0,0,24,0,23
PY,Puducherry,161,2,112,3653,53,2264
PY,Yanam,0,0,11,261,3,102
RJ,Ajmer,57,3,85,2174,53,1602
RJ,Alwar,154,2,13,4527,20,1909
RJ,Banswara,3,0,0,223,2,136
RJ,Baran,40,0,12,221,5,107
RJ,Barmer,37,0,0,1582,12,820
RJ,Bharatpur,50,1,70,2742,55,2281
RJ,Bhilwara,99,0,11,801,8,375
RJ,Bikaner,80,0,46,2226,42,1595
RJ,Bundi,8,0,9,229,0,69
RJ,Chittorgarh,13,0,4,331,6,220
RJ,Churu,12,1,21,695,4,542
RJ,Dausa,8,0,0,338,4,281
RJ,Dholpur,63,1,31,1351,16,1080
RJ,Dungarpur,24,0,13,642,1,559
RJ,Ganganagar,1,0,4,278,3,131
RJ,Hanumangarh,7,0,0,234,1,186
RJ,Jaipur,98,0,48,5896,206,4082
RJ,Jaisalmer,3,0,5,205,0,164
RJ,Jalore,0,0,16,1178,4,1089
RJ,Jhalawar,20,0,0,639,0,451
RJ,Jhunjhunu,0,0,11,632,5,577
RJ,Jodhpur,52,0,182,7291,84,5563
RJ,Karauli,13,1,0,375,7,222
RJ,Kota,146,0,25,2231,35,1130
RJ,Nagaur,0,0,12,1559,31,1297
RJ,Other State,1,2,0,189,39,54
